 Review , Score ,,,
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What’s all the buzz about? Check out the surprising inspiration behind these Ford engineers' recent addition to the 2018 Ford EcoSport.,,,,
,{'neu': 0.776, 'neg': 0.0, 'compound': 0.6705, 'pos': 0.224}
 What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.,,,,
,{'neu': 0.892, 'neg': 0.0, 'compound': 0.4404, 'pos': 0.108}
 What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.,,,,
,{'neu': 0.892, 'neg': 0.0, 'compound': 0.4404, 'pos': 0.108}
 What does being ‘Smart’ truly mean for cities? Check out the many ways that Ford has helped revolutionize San Francisco with the power of mobility.,,,,
,{'neu': 0.892, 'neg': 0.0, 'compound': 0.4404, 'pos': 0.108}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Brains and brawn: Read all about Ford’s mindset when it comes to its company culture, skillful team and outlook of the future of autonomy.,,,
,{'neu': 1.0, 'neg': 0.0, 'compound': 0.0, 'pos': 0.0}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Get ready to turn your smartphone into a virtual garage! Watch how FordPass can help you control your vehicle so you can get the most out of your ride.,,,,
,{'neu': 0.826, 'neg': 0.0, 'compound': 0.6696, 'pos': 0.174}
 Bill Ford shares Ford's plan to solve mobility challenges in cities like #Detroit and others worldwide.,,,,
,{'neu': 0.606, 'neg': 0.0, 'compound': 0.7003, 'pos': 0.394}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
 We’re celebrating World Water Day by sharing the inspirational story of Doug Martin, a Ford powertrain controls engineer, who invented ‘On-the-Go H20.’ Check out how this new technology could allow Ford vehicles to generate drinking water in the communities that need it most. Learn all about it below.,,
…see more,,,,
,{'neu': 0.794, 'neg': 0.0, 'compound': 0.8934, 'pos': 0.206}
